"Country","Variable","Year","Unit","Value","Flag.Codes","Flags"
"Czech Republic","Municipal waste generated",2010,"Tonnes",3334,"",""
"Czech Republic","Municipal waste generated",2011,"Tonnes",3358,"",""
"Czech Republic","Municipal waste generated",2012,"Tonnes",3233,"",""
"Czech Republic","Municipal waste generated",2013,"Tonnes",3228.23,"",""
"Czech Republic","Municipal waste generated",2014,"Tonnes",3260.581,"",""
"Czech Republic","Municipal waste generated",2015,"Tonnes",3337.336,"",""
"Czech Republic","Municipal waste generated",2016,"Tonnes",3579.614,"",""
"Czech Republic","Municipal waste generated",2017,"Tonnes",5176.513,"B","Break"
"Czech Republic","Municipal waste generated",2018,"Tonnes",5247.652,"",""
"Czech Republic","Municipal waste generated",2019,"Tonnes",5337.521,"",""
"Czech Republic","Municipal waste generated",2020,"Tonnes",5418.774,"E","Estimated value"
"Czech Republic","Municipal waste treated",2010,"Tonnes",3186.39,"",""
"Czech Republic","Municipal waste treated",2011,"Tonnes",3346.34,"",""
"Czech Republic","Municipal waste treated",2012,"Tonnes",3232.64,"",""
"Czech Republic","Municipal waste treated",2013,"Tonnes",3228.23,"",""
"Czech Republic","Municipal waste treated",2014,"Tonnes",3260.581,"",""
"Czech Republic","Municipal waste treated",2015,"Tonnes",3337.336,"",""
"Czech Republic","Municipal waste treated",2016,"Tonnes",3579.614,"",""
"Czech Republic","Municipal waste treated",2017,"Tonnes",4949.697,"B","Break"
"Czech Republic","Municipal waste treated",2018,"Tonnes",5028.564,"",""
"Czech Republic","Municipal waste treated",2019,"Tonnes",5146.44,"",""
"Czech Republic","Municipal waste treated",2020,"Tonnes",5271.69,"E","Estimated value"
"Denmark","Municipal waste generated",2010,"Tonnes",4206,"E","Estimated value"
"Denmark","Municipal waste generated",2011,"Tonnes",4803,"B","Break"
"Denmark","Municipal waste generated",2012,"Tonnes",4508,"",""
"Denmark","Municipal waste generated",2013,"Tonnes",4564,"",""
"Denmark","Municipal waste generated",2014,"Tonnes",4558,"",""
"Denmark","Municipal waste generated",2015,"Tonnes",4671,"",""
"Denmark","Municipal waste generated",2016,"Tonnes",4757,"",""
"Denmark","Municipal waste generated",2017,"Tonnes",4728,"",""
"Denmark","Municipal waste generated",2018,"Tonnes",4715,"",""
"Denmark","Municipal waste generated",2019,"Tonnes",4907.466,"",""
"Denmark","Municipal waste generated",2020,"Tonnes",4926.531,"E","Estimated value"
"Denmark","Municipal waste treated",2010,"Tonnes",4206,"E","Estimated value"
"Denmark","Municipal waste treated",2011,"Tonnes",4803,"B","Break"
"Denmark","Municipal waste treated",2012,"Tonnes",4507,"",""
"Denmark","Municipal waste treated",2013,"Tonnes",4563,"",""
"Denmark","Municipal waste treated",2014,"Tonnes",4559,"",""
"Denmark","Municipal waste treated",2015,"Tonnes",4671,"",""
"Denmark","Municipal waste treated",2016,"Tonnes",4757,"",""
"Denmark","Municipal waste treated",2017,"Tonnes",4728,"",""
"Denmark","Municipal waste treated",2018,"Tonnes",4715,"",""
"Denmark","Municipal waste treated",2019,"Tonnes",4907.466,"",""
"Denmark","Municipal waste treated",2020,"Tonnes",4925.766,"E","Estimated value"
"Finland","Municipal waste generated",2010,"Tonnes",2519,"",""
"Finland","Municipal waste generated",2011,"Tonnes",2719,"",""
"Finland","Municipal waste generated",2012,"Tonnes",2738,"",""
"Finland","Municipal waste generated",2013,"Tonnes",2681.55,"",""
"Finland","Municipal waste generated",2014,"Tonnes",2629.88,"",""
"Finland","Municipal waste generated",2015,"Tonnes",2738.28,"",""
"Finland","Municipal waste generated",2016,"Tonnes",2767.93,"",""
"Finland","Municipal waste generated",2017,"Tonnes",2811.59,"",""
"Finland","Municipal waste generated",2018,"Tonnes",3041.08,"",""
"Finland","Municipal waste generated",2019,"Tonnes",3122.705,"",""
"Finland","Municipal waste generated",2020,"Tonnes",3296.157,"",""
"Finland","Municipal waste treated",2010,"Tonnes",2519,"",""
"Finland","Municipal waste treated",2011,"Tonnes",2718,"",""
"Finland","Municipal waste treated",2012,"Tonnes",2738,"",""
"Finland","Municipal waste treated",2013,"Tonnes",2681.54,"",""
"Finland","Municipal waste treated",2014,"Tonnes",2629.88,"",""
"Finland","Municipal waste treated",2015,"Tonnes",2738.28,"",""
"Finland","Municipal waste treated",2016,"Tonnes",2767.93,"",""
"Finland","Municipal waste treated",2017,"Tonnes",2811.59,"",""
"Finland","Municipal waste treated",2018,"Tonnes",3041.08,"",""
"Finland","Municipal waste treated",2019,"Tonnes",3122.705,"",""
"Finland","Municipal waste treated",2020,"Tonnes",3296.157,"",""
"France","Municipal waste generated",2010,"Tonnes",34609,"E","Estimated value"
"France","Municipal waste generated",2011,"Tonnes",34790,"",""
"France","Municipal waste generated",2012,"Tonnes",34484,"E","Estimated value"
"France","Municipal waste generated",2013,"Tonnes",34176,"",""
"France","Municipal waste generated",2014,"Tonnes",34260,"E","Estimated value"
"France","Municipal waste generated",2015,"Tonnes",34344,"",""
"France","Municipal waste generated",2016,"Tonnes",35355.866,"E","Estimated value"
"France","Municipal waste generated",2017,"Tonnes",35817.334,"",""
"France","Municipal waste generated",2018,"Tonnes",35888.628,"E","Estimated value"
"France","Municipal waste generated",2019,"Tonnes",37397.05,"",""
"France","Municipal waste generated",2020,"Tonnes",36153.605,"E","Estimated value"
"France","Municipal waste treated",2010,"Tonnes",34609,"E","Estimated value"
"France","Municipal waste treated",2011,"Tonnes",34790,"",""
"France","Municipal waste treated",2012,"Tonnes",34484,"E","Estimated value"
"France","Municipal waste treated",2013,"Tonnes",34176,"",""
"France","Municipal waste treated",2014,"Tonnes",34260,"E","Estimated value"
"France","Municipal waste treated",2015,"Tonnes",34344,"",""
"France","Municipal waste treated",2016,"Tonnes",35355.866,"E","Estimated value"
"France","Municipal waste treated",2017,"Tonnes",35817.334,"",""
"France","Municipal waste treated",2018,"Tonnes",35888.628,"E","Estimated value"
"France","Municipal waste treated",2019,"Tonnes",37056.622,"",""
"France","Municipal waste treated",2020,"Tonnes",35745.146,"E","Estimated value"
"Germany","Municipal waste generated",2010,"Tonnes",49237,"",""
"Germany","Municipal waste generated",2011,"Tonnes",50237,"",""
"Germany","Municipal waste generated",2012,"Tonnes",49759,"",""
"Germany","Municipal waste generated",2013,"Tonnes",49570,"",""
"Germany","Municipal waste generated",2014,"Tonnes",51102,"",""
"Germany","Municipal waste generated",2015,"Tonnes",51625,"",""
"Germany","Municipal waste generated",2016,"Tonnes",52133,"",""
"Germany","Municipal waste generated",2017,"Tonnes",51790,"",""
"Germany","Municipal waste generated",2018,"Tonnes",50259.969,"",""
"Germany","Municipal waste generated",2019,"Tonnes",50611.789,"E","Estimated value"
"Germany","Municipal waste generated",2020,"Tonnes",52566.96,"E","Estimated value"
"Germany","Municipal waste treated",2010,"Tonnes",49236,"",""
"Germany","Municipal waste treated",2011,"Tonnes",50238,"",""
"Germany","Municipal waste treated",2012,"Tonnes",49759,"",""
"Germany","Municipal waste treated",2013,"Tonnes",49570,"",""
"Germany","Municipal waste treated",2014,"Tonnes",51102,"",""
"Germany","Municipal waste treated",2015,"Tonnes",51625,"",""
"Germany","Municipal waste treated",2016,"Tonnes",52133,"",""
"Germany","Municipal waste treated",2017,"Tonnes",51790,"",""
"Germany","Municipal waste treated",2018,"Tonnes",50259.969,"",""
"Germany","Municipal waste treated",2019,"Tonnes",50611.789,"E","Estimated value"
"Germany","Municipal waste treated",2020,"Tonnes",52566.96,"E","Estimated value"
"Greece","Municipal waste generated",2010,"Tonnes",5917,"",""
"Greece","Municipal waste generated",2011,"Tonnes",5586,"",""
"Greece","Municipal waste generated",2012,"Tonnes",5463,"",""
"Greece","Municipal waste generated",2013,"Tonnes",5284,"",""
"Greece","Municipal waste generated",2014,"Tonnes",5315,"",""
"Greece","Municipal waste generated",2015,"Tonnes",5277,"",""
"Greece","Municipal waste generated",2016,"Tonnes",5367,"",""
"Greece","Municipal waste generated",2017,"Tonnes",5415,"",""
"Greece","Municipal waste generated",2018,"Tonnes",5523,"",""
"Greece","Municipal waste generated",2019,"Tonnes",5613.179,"",""
"Greece","Municipal waste treated",2010,"Tonnes",5917,"",""
"Greece","Municipal waste treated",2011,"Tonnes",5586,"",""
"Greece","Municipal waste treated",2012,"Tonnes",5463,"",""
"Greece","Municipal waste treated",2013,"Tonnes",5284,"",""
"Greece","Municipal waste treated",2014,"Tonnes",5315,"",""
"Greece","Municipal waste treated",2015,"Tonnes",5277,"",""
"Greece","Municipal waste treated",2016,"Tonnes",5367,"",""
"Greece","Municipal waste treated",2017,"Tonnes",5415,"",""
"Greece","Municipal waste treated",2018,"Tonnes",5523,"",""
"Greece","Municipal waste treated",2019,"Tonnes",5613.179,"",""
"Hungary","Municipal waste generated",2010,"Tonnes",4033,"",""
"Hungary","Municipal waste generated",2011,"Tonnes",3809,"",""
"Hungary","Municipal waste generated",2012,"Tonnes",3988,"",""
"Hungary","Municipal waste generated",2013,"Tonnes",3738,"",""
"Hungary","Municipal waste generated",2014,"Tonnes",3795,"",""
"Hungary","Municipal waste generated",2015,"Tonnes",3712,"",""
"Hungary","Municipal waste generated",2016,"Tonnes",3721,"",""
"Hungary","Municipal waste generated",2017,"Tonnes",3768,"",""
"Hungary","Municipal waste generated",2018,"Tonnes",3729,"",""
"Hungary","Municipal waste generated",2019,"Tonnes",3780,"",""
"Hungary","Municipal waste generated",2020,"Tonnes",3545.381,"",""
"Hungary","Municipal waste treated",2010,"Tonnes",4033,"",""
"Hungary","Municipal waste treated",2011,"Tonnes",3809,"",""
"Hungary","Municipal waste treated",2012,"Tonnes",3988,"",""
"Hungary","Municipal waste treated",2013,"Tonnes",3738,"",""
"Hungary","Municipal waste treated",2014,"Tonnes",3713,"",""
"Hungary","Municipal waste treated",2015,"Tonnes",3710,"",""
"Hungary","Municipal waste treated",2016,"Tonnes",3734,"",""
"Hungary","Municipal waste treated",2017,"Tonnes",3752,"",""
"Hungary","Municipal waste treated",2018,"Tonnes",3746,"",""
"Hungary","Municipal waste treated",2019,"Tonnes",3791,"",""
"Hungary","Municipal waste treated",2020,"Tonnes",3545.934,"",""
"Iceland","Municipal waste generated",2010,"Tonnes",154,"",""
"Iceland","Municipal waste generated",2011,"Tonnes",158,"",""
"Iceland","Municipal waste generated",2012,"Tonnes",164,"",""
"Iceland","Municipal waste generated",2013,"Tonnes",167,"",""
"Iceland","Municipal waste generated",2014,"Tonnes",175,"",""
"Iceland","Municipal waste generated",2015,"Tonnes",194.554,"",""
"Iceland","Municipal waste generated",2016,"Tonnes",219.861,"",""
"Iceland","Municipal waste generated",2017,"Tonnes",225.347,"",""
"Iceland","Municipal waste generated",2018,"Tonnes",247.495,"",""
"Iceland","Municipal waste treated",2010,"Tonnes",154,"",""
"Iceland","Municipal waste treated",2011,"Tonnes",158,"",""
"Iceland","Municipal waste treated",2012,"Tonnes",165,"",""
"Iceland","Municipal waste treated",2013,"Tonnes",166,"",""
"Iceland","Municipal waste treated",2014,"Tonnes",175,"",""
"Iceland","Municipal waste treated",2015,"Tonnes",194.554,"",""
"Iceland","Municipal waste treated",2016,"Tonnes",219.861,"",""
"Iceland","Municipal waste treated",2017,"Tonnes",225.347,"",""
"Iceland","Municipal waste treated",2018,"Tonnes",247.495,"",""
"Ireland","Municipal waste generated",2010,"Tonnes",2846,"",""
"Ireland","Municipal waste generated",2011,"Tonnes",2823,"",""
"Ireland","Municipal waste generated",2012,"Tonnes",2692.5,"",""
"Ireland","Municipal waste generated",2013,"Tonnes",2692.5,"",""
"Ireland","Municipal waste generated",2014,"Tonnes",2619.02,"B","Break"
"Ireland","Municipal waste generated",2015,"Tonnes",2619.02,"B","Break"
"Ireland","Municipal waste generated",2016,"Tonnes",2763.167,"",""
"Ireland","Municipal waste generated",2017,"Tonnes",2768.043,"",""
"Ireland","Municipal waste generated",2018,"Tonnes",2912.353,"",""
"Ireland","Municipal waste generated",2019,"Tonnes",3085.652,"",""
"Ireland","Municipal waste treated",2010,"Tonnes",2622,"",""
"Ireland","Municipal waste treated",2011,"Tonnes",2558.19,"",""
"Ireland","Municipal waste treated",2012,"Tonnes",2439.45,"",""
"Ireland","Municipal waste treated",2013,"Tonnes",2439.45,"",""
"Ireland","Municipal waste treated",2014,"Tonnes",2575.22,"",""
"Ireland","Municipal waste treated",2015,"Tonnes",2575.22,"",""
"Ireland","Municipal waste treated",2016,"Tonnes",2718.299,"",""
"Ireland","Municipal waste treated",2017,"Tonnes",2723.543,"",""
"Ireland","Municipal waste treated",2018,"Tonnes",2865.207,"",""
"Ireland","Municipal waste treated",2019,"Tonnes",3036.991,"",""
"Italy","Municipal waste generated",2010,"Tonnes",32440,"",""
"Italy","Municipal waste generated",2011,"Tonnes",31386,"",""
"Italy","Municipal waste generated",2012,"Tonnes",29994,"",""
"Italy","Municipal waste generated",2013,"Tonnes",29573,"",""
"Italy","Municipal waste generated",2014,"Tonnes",29652,"",""
"Italy","Municipal waste generated",2015,"Tonnes",29524,"",""
"Italy","Municipal waste generated",2016,"Tonnes",30112,"",""
"Italy","Municipal waste generated",2017,"Tonnes",29572,"",""
"Italy","Municipal waste generated",2018,"Tonnes",30165,"",""
"Italy","Municipal waste generated",2019,"Tonnes",30023,"",""
"Italy","Municipal waste treated",2010,"Tonnes",30505,"",""
"Italy","Municipal waste treated",2011,"Tonnes",29928,"",""
"Italy","Municipal waste treated",2012,"Tonnes",28765,"",""
"Italy","Municipal waste treated",2013,"Tonnes",28538,"",""
"Italy","Municipal waste treated",2014,"Tonnes",27537,"",""
"Italy","Municipal waste treated",2015,"Tonnes",27193,"",""
"Italy","Municipal waste treated",2016,"Tonnes",27374,"",""
"Italy","Municipal waste treated",2017,"Tonnes",26948,"",""
"Italy","Municipal waste treated",2018,"Tonnes",27488,"",""
"Italy","Municipal waste treated",2019,"Tonnes",27874,"",""
"Japan","Municipal waste generated",2010,"Tonnes",45359,"",""
"Japan","Municipal waste generated",2011,"Tonnes",45430,"",""
"Japan","Municipal waste generated",2012,"Tonnes",45234,"",""
"Japan","Municipal waste generated",2013,"Tonnes",44874,"",""
"Japan","Municipal waste generated",2014,"Tonnes",44317,"",""
"Japan","Municipal waste generated",2015,"Tonnes",43981,"",""
"Japan","Municipal waste generated",2016,"Tonnes",43170,"",""
"Japan","Municipal waste generated",2017,"Tonnes",42894,"",""
"Japan","Municipal waste generated",2018,"Tonnes",42727,"",""
"Japan","Municipal waste generated",2019,"Tonnes",42737,"",""
"Japan","Municipal waste treated",2010,"Tonnes",49529,"",""
"Japan","Municipal waste treated",2011,"Tonnes",45015,"",""
"Japan","Municipal waste treated",2012,"Tonnes",45047,"",""
"Japan","Municipal waste treated",2013,"Tonnes",44645,"",""
"Japan","Municipal waste treated",2014,"Tonnes",43677,"",""
"Japan","Municipal waste treated",2015,"Tonnes",43382,"",""
"Japan","Municipal waste treated",2016,"Tonnes",42870,"",""
"Japan","Municipal waste treated",2017,"Tonnes",42870,"",""
"Japan","Municipal waste treated",2018,"Tonnes",42701,"",""
"Japan","Municipal waste treated",2019,"Tonnes",42923,"",""
"Korea","Municipal waste generated",2010,"Tonnes",17943,"",""
"Korea","Municipal waste generated",2011,"Tonnes",17861,"",""
"Korea","Municipal waste generated",2012,"Tonnes",17881,"",""
"Korea","Municipal waste generated",2013,"Tonnes",17786,"",""
"Korea","Municipal waste generated",2014,"Tonnes",18219,"",""
"Korea","Municipal waste generated",2015,"Tonnes",18705,"",""
"Korea","Municipal waste generated",2016,"Tonnes",19627,"",""
"Korea","Municipal waste generated",2017,"Tonnes",19523.668,"",""
"Korea","Municipal waste generated",2018,"Tonnes",20452.921,"",""
"Korea","Municipal waste generated",2019,"Tonnes",21155.91,"",""
"Korea","Municipal waste treated",2010,"Tonnes",17943,"",""
"Korea","Municipal waste treated",2011,"Tonnes",17861,"",""
"Korea","Municipal waste treated",2012,"Tonnes",17881,"",""
"Korea","Municipal waste treated",2013,"Tonnes",17786,"",""
"Korea","Municipal waste treated",2014,"Tonnes",18219,"",""
"Korea","Municipal waste treated",2015,"Tonnes",18705,"",""
"Korea","Municipal waste treated",2016,"Tonnes",19627,"",""
"Korea","Municipal waste treated",2017,"Tonnes",19523.668,"",""
"Korea","Municipal waste treated",2018,"Tonnes",20452.921,"",""
"Korea","Municipal waste treated",2019,"Tonnes",21155.91,"",""
"Luxembourg","Municipal waste generated",2010,"Tonnes",344.26,"",""
"Luxembourg","Municipal waste generated",2011,"Tonnes",345.33,"",""
"Luxembourg","Municipal waste generated",2012,"Tonnes",346.09,"",""
"Luxembourg","Municipal waste generated",2013,"Tonnes",334.72,"",""
"Luxembourg","Municipal waste generated",2014,"Tonnes",348.15,"",""
"Luxembourg","Municipal waste generated",2015,"Tonnes",345.95,"",""
"Luxembourg","Municipal waste generated",2016,"Tonnes",474.091,"B","Break"
"Luxembourg","Municipal waste generated",2017,"Tonnes",475.829,"",""
"Luxembourg","Municipal waste generated",2018,"Tonnes",488.312,"",""
"Luxembourg","Municipal waste generated",2019,"Tonnes",490.704,"E","Estimated value"
"Luxembourg","Municipal waste generated",2020,"Tonnes",497.764,"",""
"Luxembourg","Municipal waste treated",2010,"Tonnes",344.26,"",""
"Luxembourg","Municipal waste treated",2011,"Tonnes",345.33,"",""
"Luxembourg","Municipal waste treated",2012,"Tonnes",346.09,"",""
"Luxembourg","Municipal waste treated",2013,"Tonnes",334.72,"",""
"Luxembourg","Municipal waste treated",2014,"Tonnes",348.15,"",""
"Luxembourg","Municipal waste treated",2015,"Tonnes",345.95,"",""
"Luxembourg","Municipal waste treated",2016,"Tonnes",474.091,"B","Break"
"Luxembourg","Municipal waste treated",2017,"Tonnes",475.829,"",""
"Luxembourg","Municipal waste treated",2018,"Tonnes",488.312,"",""
"Luxembourg","Municipal waste treated",2019,"Tonnes",490.704,"E","Estimated value"
"Luxembourg","Municipal waste treated",2020,"Tonnes",497.764,"",""
"Mexico","Municipal waste generated",2010,"Tonnes",40058.75,"",""
"Mexico","Municipal waste generated",2011,"Tonnes",41062.5,"",""
"Mexico","Municipal waste generated",2012,"Tonnes",42102.75,"",""
"Mexico","Municipal waste treated",2010,"Tonnes",40058.75,"",""
"Mexico","Municipal waste treated",2011,"Tonnes",41062.5,"",""
"Mexico","Municipal waste treated",2012,"Tonnes",42102.75,"",""
"Mexico","Municipal waste treated",2014,"Tonnes",37553.87,"",""
"Mexico","Municipal waste treated",2016,"Tonnes",38228.25,"",""
"Mexico","Municipal waste treated",2018,"Tonnes",39075.275,"",""
"Netherlands","Municipal waste generated",2010,"Tonnes",9484,"",""
"Netherlands","Municipal waste generated",2011,"Tonnes",9479,"",""
"Netherlands","Municipal waste generated",2012,"Tonnes",9203,"",""
"Netherlands","Municipal waste generated",2013,"Tonnes",8840,"",""
"Netherlands","Municipal waste generated",2014,"Tonnes",8894,"",""
"Netherlands","Municipal waste generated",2015,"Tonnes",8866,"",""
"Netherlands","Municipal waste generated",2016,"Tonnes",8861,"",""
"Netherlands","Municipal waste generated",2017,"Tonnes",8792,"",""
"Netherlands","Municipal waste generated",2018,"Tonnes",8806,"",""
"Netherlands","Municipal waste generated",2019,"Tonnes",8806,"",""
"Netherlands","Municipal waste generated",2020,"Tonnes",9321,"",""
"Netherlands","Municipal waste treated",2010,"Tonnes",9484,"",""
"Netherlands","Municipal waste treated",2011,"Tonnes",9479,"",""
"Netherlands","Municipal waste treated",2012,"Tonnes",9203,"",""
"Netherlands","Municipal waste treated",2013,"Tonnes",8840,"",""
"Netherlands","Municipal waste treated",2014,"Tonnes",8894,"",""
"Netherlands","Municipal waste treated",2015,"Tonnes",8866,"",""
"Netherlands","Municipal waste treated",2016,"Tonnes",8861,"",""
"Netherlands","Municipal waste treated",2017,"Tonnes",8792,"",""
"Netherlands","Municipal waste treated",2018,"Tonnes",8806,"",""
"Netherlands","Municipal waste treated",2019,"Tonnes",8806,"",""
"Netherlands","Municipal waste treated",2020,"Tonnes",9321,"",""
"New Zealand","Municipal waste generated",2010,"Tonnes",2532,"",""
"New Zealand","Municipal waste generated",2011,"Tonnes",2512,"",""
"New Zealand","Municipal waste generated",2012,"Tonnes",2514,"",""
"New Zealand","Municipal waste generated",2013,"Tonnes",2684,"",""
"New Zealand","Municipal waste generated",2014,"Tonnes",2931,"",""
"New Zealand","Municipal waste generated",2015,"Tonnes",3221,"",""
"New Zealand","Municipal waste generated",2016,"Tonnes",3405,"",""
"New Zealand","Municipal waste generated",2017,"Tonnes",3481,"",""
"New Zealand","Municipal waste generated",2018,"Tonnes",3705,"",""
"Norway","Municipal waste generated",2010,"Tonnes",2295,"",""
"Norway","Municipal waste generated",2011,"Tonnes",2403,"",""
"Norway","Municipal waste generated",2012,"Tonnes",2392,"",""
"Norway","Municipal waste generated",2013,"Tonnes",2517.96,"",""
"Norway","Municipal waste generated",2014,"Tonnes",2175.44,"B","Break"
"Norway","Municipal waste generated",2015,"Tonnes",2187.22,"",""
"Norway","Municipal waste generated",2016,"Tonnes",3946.17,"B","Break"
"Norway","Municipal waste generated",2017,"Tonnes",3949.21,"",""
"Norway","Municipal waste generated",2018,"Tonnes",3926.9,"",""
"Norway","Municipal waste generated",2019,"Tonnes",4150.795,"",""
"Norway","Municipal waste generated",2020,"Tonnes",3904.995,"B","Break"
"Norway","Municipal waste treated",2010,"Tonnes",2295.25,"",""
"Norway","Municipal waste treated",2011,"Tonnes",2403.02,"",""
"Norway","Municipal waste treated",2012,"Tonnes",2392,"",""
"Norway","Municipal waste treated",2013,"Tonnes",2517.96,"",""
"Norway","Municipal waste treated",2014,"Tonnes",2175.44,"B","Break"
"Norway","Municipal waste treated",2015,"Tonnes",2187.22,"",""
"Norway","Municipal waste treated",2016,"Tonnes",3946.17,"B","Break"
"Norway","Municipal waste treated",2017,"Tonnes",3949.21,"",""
"Norway","Municipal waste treated",2018,"Tonnes",3926.9,"",""
"Norway","Municipal waste treated",2019,"Tonnes",4150.795,"",""
"Norway","Municipal waste treated",2020,"Tonnes",3904.995,"B","Break"
"Poland","Municipal waste generated",2010,"Tonnes",12032,"E","Estimated value"
"Poland","Municipal waste generated",2011,"Tonnes",12129,"E","Estimated value"
"Poland","Municipal waste generated",2012,"Tonnes",12084,"E","Estimated value"
"Poland","Municipal waste generated",2013,"Tonnes",11295,"E; B","Estimated value; Break"
"Poland","Municipal waste generated",2014,"Tonnes",10330,"E; B","Estimated value; Break"
"Poland","Municipal waste generated",2015,"Tonnes",10863,"E","Estimated value"
"Poland","Municipal waste generated",2016,"Tonnes",11654.345,"E","Estimated value"
"Poland","Municipal waste generated",2017,"Tonnes",11968.717,"E","Estimated value"
"Poland","Municipal waste generated",2018,"Tonnes",12485.425,"",""
"Poland","Municipal waste generated",2019,"Tonnes",12752.778,"",""
"Poland","Municipal waste generated",2020,"Tonnes",13116.898,"",""
"Poland","Municipal waste treated",2010,"Tonnes",10040,"",""
"Poland","Municipal waste treated",2011,"Tonnes",9828,"",""
"Poland","Municipal waste treated",2012,"Tonnes",9581,"",""
"Poland","Municipal waste treated",2013,"Tonnes",9474,"",""
"Poland","Municipal waste treated",2014,"Tonnes",10330,"",""
"Poland","Municipal waste treated",2015,"Tonnes",10863,"",""
"Poland","Municipal waste treated",2016,"Tonnes",11654.345,"",""
